form_number,PRN,CCATrank,DOB,10th_percentage,grad_percentage,pg_percentage,pre_ccat,DBMSTheory,DBMSLab,DBMSTotal,DBMSStatus,JavaTheory,JavaLab,JavaTotal,JavaStatus,PythonRTheory,PythonRLab,PythonRTotal,PythonRStatus,StatsTheory,StatsLab,StatsTotal,StatsStatus,DataVizTheory,DataVizLab,DataVizTotal,DataVizStatus,BigDataTheory,BigDataLab,BigDataTotal,BigDataStatus,LinuxCloudTheory,LinuxCloudLab,LinuxCloudTotal,LinuxCloudStatus,MLTheory,MLLab,MLTotal,MLStatus,Total,Percentage,Grade,Result,AptiGrade,ProjectGrade,Company_Name,Package,Higher_Edu_Percent,Is_Placed,branch_cleaned
210307661,2.10545E+11,1602,1995-07-30,73.45,58.22,7.3,no,33,58,91,P,28,57,85,P,28,57,85,P,,,,,29,46,75,P,27,51,78,P,,,,,29,57,86,P,500,83.33333333,A,Pass,A+,A+,MSCI,,55.33,Yes,Other
210301662,2.10545E+11,1776,1998-07-22,86.4,59.83,,no,29,40,69,P,29,49,78,P,28,54,82,P,,,,,28,50,78,P,30,45,75,P,,,,,28,39,67,P,449,74.83333333,A,Pass,B,A,MORNINGSTAR,,63.54,Yes,Electronics and Telecommunication
210304029,2.10545E+11,970,1996-08-12,88.91,87.51,76.82,no,24,54,78,P,16,30,46,P,25,54,79,P,,,,,21,51,72,P,22,45,67,P,,,,,17,53,70,P,412,68.66666667,B,Pass,A+,A+,CELEBAL TECHNOLOGIES,,78.31,Yes,Computer
210302878,2.10545E+11,1699,1998-04-09,76.36,58.64,,no,29,45,74,P,16,32,48,P,24,54,78,P,,,,,29,41,70,P,21,32,53,P,,,,,32,45,77,P,400,66.66666667,B,Pass,A,A,RELIANCE JIO,,70.12,Yes,Other
210303503,2.10545E+11,3369,1997-06-01,71.6,93.76,,no,16,15,31,F,9,24,33,F,16,23,39,F,,,,,19,37,56,P,16,15,31,F,,,,,18,16,34,F,224,37.33333333,,Fail,C,Fail,,,53.08,No,Computer
210305374,2.10545E+11,3411,1995-08-05,79.09,60.0,,no,35,45,80,P,16,38,54,P,25,40,65,P,,,,,28,54,82,P,32,51,83,P,,,,,23,48,71,P,435,72.5,A,Pass,A+,A+,LEARNINGMATE,,60.0,Yes,Computer
210302366,2.10545E+11,2005,1998-12-12,73.0,64.0,,no,28,35,63,P,16,52,68,P,29,58,87,P,,,,,29,44,73,P,22,42,64,P,,,,,28,47,75,P,430,71.66666667,A,Pass,A,A,AMDOCS,,64.0,Yes,Other
210303957,2.10545E+11,3293,1998-11-16,71.0,71.0,,no,33,30,63,P,19,35,54,P,27,50,77,P,,,,,30,39,69,P,29,37,66,P,,,,,29,30,59,P,388,64.66666667,B,Pass,A,A+,GREENPOINT GLOBAL TECHNOLOGIES,,,Yes,Other
210303710,2.10545E+11,2798,1997-11-03,70.18,55.88,,no,33,30,63,P,23,25,48,P,27,41,68,P,,,,,30,41,71,P,24,45,69,P,,,,,33,26,59,P,378,63.0,B,Pass,B,C,LEARNINGMATE,,65.13,Yes,Computer
210301946,2.10545E+11,4159,1995-08-08,72.0,56.51,,no,24,37,61,P,21,44,65,P,19,46,65,P,,,,,17,30,47,P,19,41,60,P,,,,,16,38,54,P,352,58.66666667,C,Pass,A,A,CRIMSON INTERACTIVE,,65.94,Yes,Other
210300589,2.10545E+11,3305,1993-07-11,87.38,63.0,,no,22,32,54,P,17,30,47,P,20,39,59,P,,,,,22,43,65,P,24,44,68,P,,,,,23,47,70,P,363,60.5,B,Pass,B,C,ECLERX,,58.0,Yes,Other
210302332,2.10545E+11,4159,1997-01-19,76.73,57.0,,no,24,30,54,P,20,30,50,P,25,34,59,P,,,,,23,35,58,P,26,36,62,P,,,,,22,39,61,P,344,57.33333333,C,Pass,B,C,RELIANCE JIO,,76.0,Yes,Electronics and Telecommunication
210303952,2.10545E+11,4228,1999-08-01,80.0,63.62,,no,22,28,50,P,19,51,70,P,20,50,70,P,,,,,24,33,57,P,26,27,53,P,,,,,22,37,59,P,359,59.83333333,C,Pass,B,C,CELEBAL TECHNOLOGIES,,54.34,Yes,Other
210302533,2.10545E+11,1085,1998-02-19,81.5,71.46,,no,27,48,75,P,21,49,70,P,26,54,80,P,,,,,26,46,72,P,19,43,62,P,,,,,19,57,76,P,435,72.5,A,Pass,A,B,RELIANCE JIO,,51.23,Yes,Electronics and Telecommunication
210301373,2.10545E+11,2118,1998-01-12,81.8,70.0,,no,25,53,78,P,23,52,75,P,25,55,80,P,,,,,21,48,69,P,22,48,70,P,,,,,21,55,76,P,448,74.66666667,A,Pass,B,C,CELEBAL TECHNOLOGIES,,85.19,Yes,Computer
210302899,2.10545E+11,3167,1997-09-17,78.2,59.67,,no,27,43,70,P,16,38,54,P,23,40,63,P,,,,,28,37,65,P,25,44,69,P,,,,,27,49,76,P,397,66.16666667,B,Pass,A+,C,AMDOCS,,61.85,Yes,Electronics and Telecommunication
210301202,2.10545E+11,2550,1996-01-30,60.36,56.87,,no,24,36,60,P,16,34,50,P,18,41,59,P,,,,,11,37,48,F,16,41,57,P,,,,,17,47,64,P,338,56.33333333,,Fail,B,Fail,,,57.66,No,Other
210306075,2.10545E+11,3661,1998-06-15,58.36,65.28,,no,26,32,58,P,16,24,40,P,19,44,63,P,,,,,17,30,47,P,25,33,58,P,,,,,24,43,67,P,333,55.5,C,Pass,B,C,,,57.08,No,Mechanical
210303942,2.10545E+11,3751,1997-07-26,70.8,71.8,,no,30,40,70,P,24,30,54,P,34,28,62,P,,,,,27,38,65,P,22,39,61,P,,,,,29,38,67,P,379,63.16666667,B,Pass,A,B,ANANDRATHI WEALTH MANAGEMENT,,51.69,Yes,Other
210300375,2.10545E+11,3964,1995-11-06,79.24,62.77,,no,30,24,54,P,16,27,43,P,19,32,51,P,,,,,27,35,62,P,28,31,59,P,,,,,29,25,54,P,323,53.83333333,C,Pass,B,B,RELIANCE JIO,,60.24,Yes,Other
210303255,2.10545E+11,Other,1998-10-11,71.6,62.83,,no,28,25,53,P,21,25,46,P,18,28,46,P,,,,,16,28,44,P,20,29,49,P,,,,,27,26,53,P,291,48.5,D,Pass,B,B,CELEBAL TECHNOLOGIES,,50.77,Yes,Computer
210302692,2.10545E+11,2660,1998-10-27,83.6,60.37,,no,27,44,71,P,22,28,50,P,30,29,59,P,,,,,25,40,65,P,24,41,65,P,,,,,29,42,71,P,381,63.5,B,Pass,B,B,DRONA PAY,,70.0,Yes,Other
210300369,2.10545E+11,4037,1993-06-04,75.07,70.2,,no,26,34,60,P,21,24,45,P,28,37,65,P,,,,,23,28,51,P,24,31,55,P,,,,,29,35,64,P,340,56.66666667,C,Pass,A+,B,CREDIT SUISSE,,52.83,Yes,Other
210305195,2.10545E+11,3850,1992-01-27,49.84,69.9,,no,26,28,54,P,23,38,61,P,20,41,61,P,,,,,16,44,60,P,16,30,46,P,,,,,21,28,49,P,331,55.16666667,C,Pass,C,B,BANK OF AMERICA,,59.93,Yes,Electronics and Telecommunication
210307115,2.10545E+11,3312,1997-12-12,70.3,60.0,,no,31,45,76,P,21,37,58,P,35,35,70,P,,,,,29,48,77,P,25,38,63,P,,,,,33,44,77,P,421,70.16666667,A,Pass,A,B,AMDOCS,,66.0,Yes,Electrical
210306398,2.10545E+11,2631,1998-02-24,81.4,74.1,,no,25,35,60,P,16,40,56,P,17,39,56,P,,,,,24,45,69,P,23,38,61,P,,,,,23,38,61,P,363,60.5,B,Pass,B,C,CELEBAL TECHNOLOGIES,,79.82,Yes,Computer
210306782,2.10545E+11,2927,1995-05-01,69.82,59.5,,no,21,32,53,P,16,25,41,P,17,50,67,P,,,,,16,36,52,P,16,33,49,P,,,,,19,37,56,P,318,53.0,C,Pass,C,C,LUMIQ,,55.0,Yes,Computer
210300189,2.10545E+11,2562,1996-06-02,57.45,63.94,,no,27,31,58,P,19,31,50,P,20,35,55,P,,,,,26,33,59,P,19,32,51,P,,,,,28,38,66,P,339,56.5,C,Pass,B,C,AMDOCS,,53.38,Yes,Electronics and Telecommunication
210301222,2.10545E+11,3756,1996-04-04,88.4,60.42,63.65,no,32,26,58,P,21,24,45,P,25,40,65,P,,,,,27,29,56,P,32,29,61,P,,,,,24,24,48,P,333,55.5,C,Pass,B,C,LEARNINGMATE,,57.34,Yes,Mathematics
210306394,2.10545E+11,4076,1999-04-19,89.0,82.3,,no,32,31,63,P,22,32,54,P,28,37,65,P,,,,,27,42,69,P,22,39,61,P,,,,,25,47,72,P,384,64.0,B,Pass,B,C,CELEBAL TECHNOLOGIES,,67.38,Yes,Electronics and Telecommunication
210303549,2.10545E+11,3713,1999-01-31,80.4,65.65,,no,30,39,69,P,16,34,50,P,25,54,79,P,,,,,32,48,80,P,24,40,64,P,,,,,27,43,70,P,412,68.66666667,B,Pass,A,A,LEARNINGMATE,,80.82,Yes,Other
210301294,2.10545E+11,4292,1997-07-18,84.91,74.41,76.33,no,29,45,74,P,24,30,54,P,25,45,70,P,,,,,25,42,67,P,22,46,68,P,,,,,30,40,70,P,403,67.16666667,B,Pass,B,A,MSCI,,51.38,Yes,Physics
210301313,2.10545E+11,3578,1996-01-22,70.3,74.8,,no,27,36,63,P,17,29,46,P,27,41,68,P,,,,,33,39,72,P,26,42,68,P,,,,,28,24,52,P,369,61.5,B,Pass,A,A,AMDOCS,,60.8,Yes,Computer
210301313,2.10545E+11,3578,1996-01-22,70.3,74.8,,no,27,36,63,P,17,29,46,P,27,41,68,P,,,,,33,39,72,P,26,42,68,P,,,,,28,24,52,P,369,61.5,B,Pass,A,A,MSCI,,60.8,Yes,Computer
210305853,2.10545E+11,4071,1995-12-14,69.64,67.86,,no,25,22,47,F,17,24,41,P,24,31,55,P,,,,,17,31,48,P,16,29,45,F,,,,,25,27,52,P,288,48.0,,Fail,B,Fail,,,60.11,No,Electronics and Telecommunication
210304031,2.10545E+11,2436,1996-02-07,92.18,71.0,,no,A,A,0,F,A,14,14,F,A,38,38,F,,,,,A,A,0,F,A,A,0,F,,,,,A,A,0,F,52,8.666666667,,Fail,C,Fail,,,73.35,No,Other
210301186,2.10545E+11,4267,1993-12-15,82.61,67.0,65.0,no,24,32,56,P,21,33,54,P,24,49,73,P,,,,,23,39,62,P,19,30,49,P,,,,,26,45,71,P,365,60.83333333,B,Pass,B,C,CREDIT SUISSE,,58.33,Yes,Other
210301521,2.10545E+11,3099,1995-11-14,74.1,64.63,,no,26,27,53,P,20,30,50,P,22,40,62,P,,,,,23,34,57,P,23,35,58,P,,,,,25,39,64,P,344,57.33333333,C,Pass,B,B,AMDOCS,,68.8,Yes,Other
210302634,2.10545E+11,1168,1998-06-11,90.0,67.89,,no,27,A,27,F,11,24,35,F,22,38,60,P,,,,,16,39,55,P,20,10,30,F,,,,,19,10,29,F,236,39.33333333,,Fail,C,Fail,,,86.9,No,Other
210303539,2.10545E+11,3636,1997-07-12,82.0,83.5,,no,28,45,73,P,22,44,66,P,26,47,73,P,,,,,28,47,75,P,25,41,66,P,,,,,31,47,78,P,431,71.83333333,A,Pass,A,B,CELEBAL TECHNOLOGIES,,59.0,Yes,Computer
210307155,2.10545E+11,2393,1996-08-08,81.16,,,no,31,27,58,P,17,27,44,P,19,44,63,P,,,,,30,36,66,P,24,42,66,P,,,,,29,25,54,P,351,58.5,C,Pass,A,B,AMDOCS,,77.0,Yes,Instrumentation
210300632,2.10545E+11,2532,1997-04-12,72.0,73.15,,no,37,33,70,P,27,29,56,P,30,46,76,P,,,,,21,35,56,P,25,32,57,P,,,,,34,25,59,P,374,62.33333333,B,Pass,A,C,AMDOCS,,73.0,Yes,Other
210303374,2.10545E+11,179,1996-04-28,90.36,62.95,,no,31,60,91,P,26,57,83,P,28,58,86,P,,,,,26,53,79,P,24,51,75,P,,,,,20,54,74,P,488,81.33333333,A,Pass,A,C,CELEBAL TECHNOLOGIES,,66.33,Yes,Electronics and Telecommunication
210305258,2.10545E+11,2420,1998-04-22,82.4,80.0,,no,26,34,60,P,18,28,46,P,27,38,65,P,,,,,24,50,74,P,24,53,77,P,,,,,30,41,71,P,393,65.5,B,Pass,B,C,LEARNINGMATE,,70.0,Yes,Electronics and Telecommunication
210307535,2.10545E+11,2173,1984-10-08,78.0,76.0,72.81,no,29,44,73,P,16,26,42,P,23,46,69,P,,,,,25,50,75,P,23,43,66,P,,,,,18,46,64,P,389,64.83333333,B,Pass,B,C,RELIANCE JIO,,76.67,Yes,Electronics and Telecommunication
210300197,2.10545E+11,4050,1996-01-18,52.91,61.5,,no,17,24,41,P,16,30,46,P,18,34,52,P,,,,,21,30,51,P,20,22,42,F,,,,,16,12,28,F,260,43.33333333,,Fail,C,Fail,,,61.33,No,Electronics and Telecommunication
210706682,2.10945E+11,2435,1999-10-04,94.8,84.17,,yes,36,35,71,P,33,36,69,P,36,51,87,P,31,25,56,P,33,50,83,P,31,46,77,P,31,53,84,P,34,43,77,P,604,75.5,A,Pass,A,B,,,83.07,No,Other
210701686,2.10945E+11,2669,1997-06-29,88.0,58.0,,yes,26,48,74,P,30,40,70,P,21,47,68,P,22,36,58,P,29,49,78,P,33,43,76,P,27,37,64,P,35,45,80,P,568,71.0,A,Pass,A,A,,,68.0,No,Other
210703503,2.10945E+11,1922,1999-06-23,89.2,68.7,,yes,34,45,79,P,29,48,77,P,26,47,73,P,27,31,58,P,24,50,74,P,31,43,74,P,31,38,69,P,36,37,73,P,577,72.125,A,Pass,C,A,,,77.24,No,Mechanical
210707815,2.10945E+11,2690,1995-07-27,93.64,61.0,,no,28,35,63,P,27,25,52,P,26,48,74,P,21,36,57,P,30,45,75,P,30,37,67,P,32,34,66,P,31,52,83,P,537,67.125,B,Pass,B,A,,,68.0,No,Mechanical
210716276,2.10945E+11,3081,1995-03-23,80.55,59.0,,yes,34,44,78,P,31,43,74,P,26,50,76,P,32,39,71,P,30,46,76,P,31,40,71,P,28,32,60,P,33,40,73,P,579,72.375,A,Pass,A,A,,,64.33,No,Other
210708625,2.10945E+11,3151,1997-09-20,71.09,65.26,,yes,28,29,57,P,23,37,60,P,25,33,58,P,29,43,72,P,31,44,75,P,29,47,76,P,36,38,74,P,32,47,79,P,551,68.875,B,Pass,C,D,,,75.71,No,Mechanical
210707890,2.10945E+11,2708,1998-09-26,85.4,74.9,,yes,26,53,79,P,31,37,68,P,29,43,72,P,28,47,75,P,30,49,79,P,34,32,66,P,28,33,61,P,31,48,79,P,579,72.375,A,Pass,B,C,,,71.27,No,Electrical
210715936,2.10945E+11,3057,1999-07-03,67.0,72.62,,no,23,37,60,P,19,45,64,P,18,47,65,P,17,44,61,P,24,46,70,P,23,49,72,P,22,40,62,P,27,38,65,P,519,64.875,B,Pass,B,A,,,66.0,No,Other
210706589,2.10945E+11,2494,1997-01-09,83.24,64.0,,no,31,49,80,P,28,31,59,P,30,41,71,P,28,33,61,P,29,51,80,P,29,28,57,P,33,30,63,P,35,41,76,P,547,68.375,B,Pass,B,C,,,79.54,No,Electronics and Telecommunication
210712762,2.10945E+11,2392,1997-07-18,78.0,78.29,,no,26,49,75,P,24,40,64,P,25,46,71,P,23,46,69,P,25,45,70,P,31,43,74,P,18,42,60,P,31,46,77,P,560,70.0,A,Pass,A,A,,,71.5,No,Other
210712662,2.10945E+11,3288,1990-10-28,60.53,56.58,69.73,no,21,45,66,P,22,42,64,P,26,48,74,P,26,36,62,P,25,48,73,P,25,44,69,P,27,33,60,P,25,40,65,P,533,66.625,B,Pass,B,A+,,,55.33,No,Other
210706127,2.10945E+11,2682,1999-12-10,93.0,78.06,,yes,31,37,68,P,32,53,85,P,28,50,78,P,31,51,82,P,31,48,79,P,30,46,76,P,30,55,85,P,30,53,83,P,636,79.5,A,Pass,B,A+,,,75.54,No,Other
210708235,2.10945E+11,1788,1994-01-30,82.61,74.0,,yes,29,48,77,P,27,27,54,P,25,51,76,P,25,41,66,P,32,50,82,P,33,49,82,P,31,45,76,P,35,43,78,P,591,73.875,A,Pass,A,A+,,,70.17,No,Other
210700634,2.10945E+11,3300,1997-09-14,82.5,63.3,,no,28,49,77,P,27,40,67,P,25,47,72,P,29,46,75,P,27,48,75,P,31,50,81,P,25,34,59,P,29,42,71,P,577,72.125,A,Pass,B,A,,,,No,Other
210714996,2.10945E+11,2601,1984-12-24,68.0,60.86,,yes,29,47,76,P,38,38,76,P,27,50,77,P,25,49,74,P,31,56,87,P,30,37,67,P,35,56,91,P,35,45,80,P,628,78.5,A,Pass,A,A,,,65.0,No,Computer
210702164,2.10945E+11,2742,1996-05-08,85.5,66.2,,no,28,48,76,P,26,56,82,P,25,41,66,P,29,46,75,P,28,54,82,P,28,47,75,P,34,46,80,P,38,42,80,P,616,77.0,A,Pass,A,A,,,67.6,No,Computer
210704922,2.10945E+11,2306,1998-08-07,87.0,66.53,,no,31,40,71,P,27,33,60,P,23,47,70,P,29,45,74,P,30,49,79,P,31,47,78,P,30,48,78,P,32,52,84,P,594,74.25,A,Pass,A,A+,,,75.0,No,Mechanical
210713843,2.10945E+11,3251,1996-05-24,67.2,62.86,,yes,27,33,60,P,25,34,59,P,23,43,66,P,25,30,55,P,24,44,68,P,30,40,70,P,25,30,55,P,31,37,68,P,501,62.625,B,Pass,A,B,,,76.06,No,Other
210700904,2.10945E+11,2967,1996-09-18,91.09,68.0,,yes,29,37,66,P,32,30,62,P,19,48,67,P,16,35,51,P,30,47,77,P,30,46,76,P,35,33,68,P,35,34,69,P,536,67.0,B,Pass,A,A,,,60.0,No,Other
210709927,2.10945E+11,2444,1999-01-05,79.2,,,yes,33,53,86,P,31,50,81,P,31,49,80,P,29,41,70,P,31,51,82,P,34,50,84,P,34,33,67,P,36,42,78,P,628,78.5,A,Pass,A,A,,,73.08,No,Mechanical
210708156,2.10945E+11,Other,1997-10-26,80.55,64.63,,no,17,30,47,P,19,41,60,P,23,31,54,P,16,36,52,P,20,25,45,P,20,24,44,P,17,33,50,P,16,29,45,P,397,49.625,D,Pass,D,C,,,63.58,No,Civil
210713845,2.10945E+11,2263,1997-02-13,72.2,60.14,,yes,30,34,64,P,27,32,59,P,30,47,77,P,24,34,58,P,33,45,78,P,31,38,69,P,32,35,67,P,35,48,83,P,555,69.375,B,Pass,A+,B,,,67.76,No,Other
210700952,2.10945E+11,2793,1995-12-03,69.57,74.67,,no,29,45,74,P,22,49,71,P,28,51,79,P,25,48,73,P,28,56,84,P,31,42,73,P,36,45,81,P,34,49,83,P,618,77.25,A,Pass,A,A+,,,80.0,No,Other
210711095,2.10945E+11,2885,1996-01-11,80.73,71.86,,no,28,48,76,P,33,44,77,P,26,48,74,P,24,43,67,P,27,50,77,P,30,45,75,P,32,54,86,P,36,56,92,P,624,78.0,A,Pass,C,A+,,,60.17,No,Electronics and Telecommunication
210707253,2.10945E+11,1852,1995-11-09,88.91,60.0,,no,33,45,78,P,30,43,73,P,27,47,74,P,29,46,75,P,31,50,81,P,31,47,78,P,31,37,68,P,37,50,87,P,614,76.75,A,Pass,A+,B,,,59.33,No,Other
210706972,2.10945E+11,2392,1994-03-22,82.61,58.87,,no,33,35,68,P,24,40,64,P,27,42,69,P,25,31,56,P,33,53,86,P,30,50,80,P,35,33,68,P,37,44,81,P,572,71.5,A,Pass,C,A,,,66.81,No,Mechanical
210711013,2.10945E+11,3370,1995-09-30,82.91,60.41,,yes,26,34,60,P,16,31,47,P,23,44,67,P,19,27,46,P,23,49,72,P,31,37,68,P,33,30,63,P,37,37,74,P,497,62.125,B,Pass,C,B,,,51.83,No,Electronics and Telecommunication
210700320,2.10945E+11,2580,1997-07-17,75.27,55.51,,yes,32,40,72,P,28,41,69,P,30,52,82,P,29,48,77,P,32,45,77,P,30,36,66,P,27,46,73,P,30,52,82,P,598,74.75,A,Pass,B,A+,,,60.77,No,Other
210707938,2.10945E+11,2881,1998-04-06,85.4,65.47,,yes,32,58,90,P,31,57,88,P,29,51,80,P,29,49,78,P,31,56,87,P,33,56,89,P,32,57,89,P,33,48,81,P,682,85.25,A+,Pass,B,A,,,79.38,No,Mechanical
210709365,2.10945E+11,2617,1996-05-20,83.4,69.0,,no,28,27,55,P,17,24,41,P,20,31,51,P,24,25,49,P,26,24,50,P,30,24,54,P,17,26,43,P,24,29,53,P,396,49.5,D,Pass,C,C,,,,No,Other
210700868,2.10945E+11,2908,1999-10-07,75.0,75.94,,no,27,54,81,P,31,56,87,P,30,48,78,P,31,48,79,P,30,52,82,P,34,52,86,P,33,50,83,P,33,54,87,P,663,82.875,A,Pass,B,A+,,,70.77,No,Other
210701637,2.10945E+11,2815,1996-04-03,71.2,55.07,,no,30,29,59,P,29,37,66,P,19,43,62,P,30,38,68,P,31,41,72,P,30,24,54,P,30,38,68,P,34,45,79,P,528,66.0,B,Pass,C,B,,,57.23,No,Electronics and Telecommunication
210704347,2.10945E+11,3107,1997-06-08,91.09,64.4,,yes,29,43,72,P,26,30,56,P,27,43,70,P,28,36,64,P,34,46,80,P,29,47,76,P,32,27,59,P,32,42,74,P,551,68.875,B,Pass,C,B,,,69.0,No,Mechanical
210713661,2.10945E+11,2792,1996-11-17,83.64,61.0,,yes,34,49,83,P,24,36,60,P,25,33,58,P,31,49,80,P,32,59,91,P,32,50,82,P,33,44,77,P,35,41,76,P,607,75.875,A,Pass,A,B,,,58.0,No,Other
210705366,2.10945E+11,2352,1997-09-05,82.91,72.96,72.71,yes,34,49,83,P,33,43,76,P,31,39,70,P,30,37,67,P,35,46,81,P,34,43,77,P,33,48,81,P,32,48,80,P,615,76.875,A,Pass,B,A,,,59.08,No,Computer
210700575,2.10945E+11,3256,1997-07-28,80.2,68.78,,no,21,24,45,P,35,31,66,P,21,40,61,P,25,33,58,P,30,33,63,P,30,26,56,P,29,34,63,P,34,27,61,P,473,59.125,C,Pass,B,C,,,60.99,No,Other
210706747,2.10945E+11,3321,1998-11-01,83.6,64.71,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.15,No,Other
210716432,2.10945E+11,2394,1996-01-02,80.36,56.82,,no,34,48,82,P,31,31,62,P,29,40,69,P,32,36,68,P,30,46,76,P,31,46,77,P,34,34,68,P,35,46,81,P,583,72.875,A,Pass,B,A,,,64.31,No,Other
210714433,2.10945E+11,2201,1995-10-19,78.8,78.69,,yes,31,32,63,P,24,40,64,P,33,42,75,P,27,37,64,P,29,46,75,P,32,49,81,P,30,33,63,P,34,42,76,P,561,70.125,A,Pass,C,B,,,56.46,No,Other
210714211,2.10945E+11,2327,2021-09-18,93.2,64.9,,no,29,28,57,P,28,24,52,P,22,40,62,P,23,32,55,P,22,36,58,P,24,34,58,P,21,35,56,P,27,42,69,P,467,58.375,C,Pass,A+,C,,,78.15,No,Other
210709129,2.10945E+11,2912,1999-08-14,89.6,71.0,,yes,32,44,76,P,31,44,75,P,24,54,78,P,28,44,72,P,28,52,80,P,33,45,78,P,27,49,76,P,33,52,85,P,620,77.5,A,Pass,A,A+,,,64.0,No,Mechanical
210709455,2.10945E+11,2697,1996-02-27,83.6,74.04,,no,30,45,75,P,29,53,82,P,25,48,73,P,28,53,81,P,29,49,78,P,33,34,67,P,28,38,66,P,34,41,75,P,597,74.625,A,Pass,B,A+,,,,No,Other
210704457,2.10945E+11,2524,1998-03-29,81.27,78.47,68.88,no,21,53,74,P,25,43,68,P,20,50,70,P,20,36,56,P,22,53,75,P,26,43,69,P,23,48,71,P,26,41,67,P,550,68.75,B,Pass,B,A,,,70.77,No,Mathematics
210707624,2.10945E+11,834,1999-06-25,86.6,71.41,,yes,29,47,76,P,29,53,82,P,28,58,86,P,26,47,73,P,27,51,78,P,29,52,81,P,35,58,93,P,26,53,79,P,648,81.0,A,Pass,B,A,,,64.46,No,Other
210711491,2.10945E+11,3080,1995-06-12,90.0,69.35,,no,31,32,63,P,30,31,61,P,25,38,63,P,28,34,62,P,29,37,66,P,30,43,73,P,26,32,58,P,24,40,64,P,510,63.75,B,Pass,B,B,,,72.5,No,Electronics and Telecommunication
210714041,2.10945E+11,2802,1998-07-13,83.8,57.2,,no,33,39,72,P,31,53,84,P,28,47,75,P,30,39,69,P,29,51,80,P,32,47,79,P,30,54,84,P,34,56,90,P,633,79.125,A,Pass,B,A,,,69.54,No,Other
210703803,2.10945E+11,3138,1997-04-07,75.4,59.28,,yes,32,29,61,P,30,38,68,P,31,47,78,P,31,42,73,P,31,39,70,P,32,39,71,P,33,27,60,P,34,37,71,P,552,69.0,B,Pass,C,A,,,68.62,No,Mechanical
